Gene_ID,mean,lower,upper,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol
ENSG00000203995,3.066600152293536e-5,-0.0025,0.0025,15.22361556782496,-2.427242561389465,0.8502481728659982,-2.8547459892889484,0.004307126209934206,0.05682483478217213,Sí,
ENSG00000204054,5.048827533975376e-4,0,0.009397488606958342,256.698679173266,2.142377698126541,0.5239052311460395,4.089246624699858,4.3277651927268685e-5,0.0023556644196182732,Sí,
ENSG00000204099,2.0476357637420935e-4,0,0.005944493199803179,395.0714905010755,-2.118131754849177,0.36185912181706964,-5.853470666189132,4.814191980181378e-9,2.0636420144945255e-6,Sí,
ENSG00000204103,3.330778855941325e-4,0,0.0064524227426885055,135.00495582026076,2.9410014151192785,0.8478851817091311,3.468631695144067,5.231160651667944e-4,0.01378541496695322,Sí,
ENSG00000204136,7.286880037839253e-4,0,0.012300225273777119,41.647593736685295,1.8701340174347385,0.6191943609364043,3.02026978186065,0.002525496214487113,0.04039220845230253,Sí,
ENSG00000204161,1.9413753599300726e-4,0,0.0025,158.4886378087907,1.2836684867792623,0.4880780649183085,2.63004748429765,0.008537294266491543,0.08767870246411341,Sí,
ENSG00000204174,2.591292129433903e-4,0,0.0025,206.29886420498386,-2.3151855854162515,0.704323783826071,-3.2871040827835714,0.0010122341357152915,0.02206415620081467,Sí,
ENSG00000204175,3.724459001774897e-4,0,0.007131993199803236,1383.9717665470043,-1.7371990494547398,0.5671194504477162,-3.063197793839193,0.0021898526520342976,0.036531421080477584,Sí,
ENSG00000204257,3.0324343389389816e-4,0,0.007131993199803236,1436.8871111206076,2.2471885047152016,0.7061350825642484,3.1823776501158885,0.0014607121710543064,0.02809282204528577,Sí,
ENSG00000204262,-2.651698392288548e-4,-0.0013124999999999964,0,695.0979337510439,2.5009477687333708,0.7781007547585514,3.214169570506878,0.0013082239005481836,0.02620712253348417,Sí,
ENSG00000204287,2.0592265577517747e-4,0,0.003999999999999935,10141.192798733693,2.379700645156436,0.7431424356402955,3.202213372603427,0.0013637594203142558,0.02681215760207109,Sí,
ENSG00000204291,3.784865264629542e-4,0,0.007131993199803236,518.6458409925808,3.1529296107406406,0.7665993271166085,4.112878134917857,3.907566854440341e-5,0.002151533414564825,Sí,
ENSG00000204301,-2.285611117325744e-20,0,0,123.3570934799444,2.0332527301801493,0.7185309347971848,2.8297358286377228,0.004658645247557389,0.05967346280039439,Sí,
ENSG00000204397,0.0010462896989018673,0,0.013591409142295225,443.8047419998806,2.221384358574779,0.40821465557347963,5.441706534161717,5.277256162966254e-8,1.2726203438059508e-5,Sí,
ENSG00000204472,6.9802200226099e-4,0,0.013591409142295225,242.897624113927,2.0125299234282705,0.5785860630105204,3.4783587993056737,5.044941492039246e-4,0.01347982894317527,Sí,
ENSG00000204540,4.1821346741408646e-4,0,0.009060939428196819,258.5523238999687,-2.053518456928465,0.7313718930385745,-2.8077623387971196,0.004988702841713412,0.06252616962992251,Sí,
ENSG00000204577,8.051941194817872e-4,0,0.013591409142295225,133.8931288315266,4.913314297045127,0.7781065564169433,6.31444916705259,2.7112542027945836e-10,1.9866193775938313e-7,Sí,
ENSG00000204581,4.4722612265093303e-4,0,0.010012338068157439,13.177090551835182,-3.1262204522367214,0.933908864618491,-3.3474577345550807,8.155642309851412e-4,0.018833108078179304,Sí,
ENSG00000204588,3.5130370817836374e-4,0,0.010012338068157439,267.0869991443455,-1.2926024505040836,0.33334513153797946,-3.877670102875979,1.0546158842358168e-4,0.004386787600562565,Sí,
ENSG00000204614,2.447552533245924e-4,0,0.0025,756.9211586889187,2.74098874476357,0.8699748151881584,3.150652980880542,0.0016290591816993565,0.030219285755164988,Sí,
ENSG00000205084,6.179287595969456e-4,0,0.009510489799704798,160.62958452313018,-1.910158743503336,0.5930538385848844,-3.2208858947128003,0.0012779501759513517,0.02573597124952347,Sí,
ENSG00000205364,4.647086407455467e-4,-0.0013124999999999964,0.010873127313836177,285.1535931371759,-2.576662285270834,0.7670085887478818,-3.359365622589907,7.812163422016055e-4,0.01822616096235416,Sí,
ENSG00000205403,6.39341632630763e-4,0,0.010873127313836177,230.18350859194555,3.231721736718674,0.5386258329476157,5.9999382484742,1.973925819178407e-9,1.044482878471116e-6,Sí,
ENSG00000205420,9.821512152043801e-5,0,0,7.736618679130353,6.040521518680002,1.9973693638198862,3.0242385950727484,0.0024925977433756003,0.04029350330815311,Sí,
ENSG00000205502,1.8434899046994698e-4,-0.0025,0.010873127313836177,63.1914108945376,3.224463948020268,0.8159557936556576,3.9517630404632285,7.757753797290602e-5,0.0035698021518964615,Sí,
ENSG00000205702,-3.165834361704971e-5,0,0.0025,160.02202128545719,-1.9981406268370208,0.6413141652582863,-3.115697009487197,0.0018351072088594231,0.032431008753229004,Sí,
ENSG00000205726,7.141218551042063e-4,0,0.010873127313836177,768.7466286271276,-1.69294720318774,0.5147413193355176,-3.2889281267980874,0.001005697017974603,0.02199716864458572,Sí,
ENSG00000205846,4.937212959823932e-4,0,0.010873127313836177,7.666718150211307,5.28409258330442,1.3512509291897692,3.910519111704029,9.209797230935134e-5,0.0040058412567704395,Sí,
ENSG00000206075,1.4654013180415439e-4,0,0,459.77677529110616,3.0478582535420418,1.0091818818113427,3.020127797054338,0.002526680486610895,0.04039220845230253,Sí,
